,HG1,HG10,HG4,HG5,HG6,HG7,HG8,HG9,MG1,MG10,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,HR1,HR10,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,MR1,MR10,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9
163.3/1327,21692.31898,24586.33166,10136.90223,11453.88608,15602.12871,12204.00245,19492.23461,3852.130979,17251.70012,319.7167235,13490.38516,6515.622332,16042.51785,12264.29408,58.59463615,229.5827534,195.6201654,15052.75235,726.0161353,6362.452551,6152.296362,6754.052995,9398.821734,13753.78018,9865.709265,20467.0356,9050.40417,16820.58508,5412.656624,3664.996521,5961.581959,8143.982439,2287.672344,11007.26641,55.62213507,1191.453311,684.1979464,5235.093511
186.3/1627,140305.727,2688.713313,7505.952941,18435.70529,13881.91969,80142.64123,60627.48395,30236.11632,17527.3567,4939.015044,9134.204972,67180.04925,3883.313045,9612.731866,4229.652706,6449.067338,6296.70124,5468.082325,9917.655434,1794.992166,4402.684792,51567.16404,42059.28261,25031.0907,9665.852565,38330.79124,2818.009555,72297.88107,3733.205042,310.7556362,18810.15085,532.8400576,593.1003726,411.4127564,207.3770107,29798.88721,701.2431996,12466.06165
186.5/1629,138875.5089,61.19254714,7521.612791,17963.96749,102.3061686,65612.16242,58633.46779,2942.287018,0,0,0,0,0,0,65.80877598,170.8709474,0,0,9094.093081,330.2886044,4405.553984,50868.12652,41836.38591,24934.23775,6980.815119,450.357824,1574.15377,72495.80187,0,0,0,0,124.8675898,0,70.26526379,0,0,0
191/543,35805.36565,27953.09851,22789.62508,19311.40849,31181.31442,34089.95988,36356.65085,35253.15272,28278.76084,17472.3632,30418.98363,23978.10345,10219.25755,32928.69693,16548.06967,22733.4202,11901.53391,8748.469643,16619.26903,30143.18747,19391.43692,28142.78842,25604.52467,23281.52507,32821.03005,37227.06648,34828.01845,28284.22457,17240.01932,4008.34472,20385.84001,15887.56731,13393.31911,9484.540138,4194.986096,9095.812424,9206.782158,9264.689099
203.5/1154,7053.099062,391.9602614,98984.31562,4381.760464,3083.356437,1106.78424,438.9679298,50015.56772,14034.19649,10061.73246,40598.34979,40545.30621,26162.34804,13143.67457,19224.99674,3753.935322,3942.086846,10784.64339,37719.86985,47875.20042,14441.59664,44765.95317,108506.9439,70198.71391,97453.01745,16702.96257,72975.96847,61810.79188,27413.54054,8627.460628,28149.19523,16672.3245,16127.10969,11771.11561,8330.785765,10929.44747,10887.73522,8625.86204
210/1419,673.618597,0,0,0,0,0,263.9774946,441.9431071,29179.61549,17358.6858,12684.31246,14145.16038,238.2475718,16329.98593,3052.45558,10159.06503,9723.189897,265.204501,254.6990627,116.439143,58.72701662,0,62.89043859,0,71.62464771,67.30202197,87.71583408,101.8026936,26346.77702,108.0130602,22917.36995,13782.89423,13681.93419,2973.968025,2560.544152,1857.608158,963.5735932,494.2649695
217.9/1006,20463.24836,7387.679179,3164.259427,866.6970548,7295.114025,11012.66214,18090.83474,25868.99912,17069.11305,14849.18396,21714.01531,17258.09013,14028.81389,16078.97754,14180.04908,12292.4084,12335.86576,8048.9609,2821.821231,21773.27632,3466.323928,1204.551587,8179.344639,2920.888906,6376.124051,3570.822388,5965.019016,2568.000045,7495.529502,693.8687227,4439.948194,1914.090202,2226.940197,1124.352136,2474.77943,971.7408738,1017.744308,247.2211544
218.2/1007,21581.90847,14264.1747,17621.58049,6486.808587,17218.35097,27371.2402,20719.17953,30150.00647,15629.42742,14708.70091,20988.68137,17258.35109,13612.91141,14943.65076,13451.36315,12325.01149,12184.59038,6927.194529,3292.165162,21340.51313,4609.532325,1259.201611,8150.633305,2852.652465,6192.008109,3567.684274,5921.934159,2451.155504,7450.892801,454.479351,4375.509905,1456.377907,1920.64532,854.342454,2268.409112,661.5079126,1015.794085,74.74099486
220.2/1255,51067.61942,68167.93025,57251.3543,79834.53196,62562.89086,63078.06642,66032.62093,20513.06072,11022.67643,16073.729,23780.81941,19738.52332,34234.93011,28924.95306,6831.754077,10233.17414,10924.74024,24034.46671,3261.479328,26042.96087,70693.64148,20395.78784,6756.907594,38914.092,10643.85488,45189.89185,10509.71771,25674.9625,9810.415522,5600.955662,59.27126828,4145.649849,60.11959516,613.155174,139.2353448,173.0393458,56.30389679,2768.143329
222.8/1074,9416.450213,17772.16093,11964.35487,15685.14081,28675.24065,20038.55219,25289.91195,15629.56378,14957.35249,24358.13427,15013.77128,27933.20323,15569.68884,46494.11579,30493.27133,40778.9587,41280.02311,16343.13169,3789.497992,8990.741696,4333.033113,28190.76743,25243.16609,9266.147123,19919.07274,14228.93741,6991.38068,11968.23699,2215.922418,107.0222913,4773.024571,1378.036387,2400.162321,1885.675644,875.1362112,5396.850264,2716.531535,2742.555101
223.3/1076,108257.6037,159230.8596,93513.14582,178643.4479,167372.0784,155766.2748,161941.2082,56383.74798,13672.9787,24282.19047,14742.29396,30887.40485,14622.55085,57161.53759,24565.32152,37066.78259,38436.7565,3631.129316,18805.1295,9106.578721,8321.549987,28080.3193,25276.10189,8961.94235,20159.89285,13408.95597,6243.984905,11450.3594,2277.850556,0,4188.531969,878.9651744,2047.95505,122.354717,155.4980407,4021.454718,1711.000418,341.399803
242.9/572,7961.796516,778.4006619,11337.92106,4014.926787,8428.954378,6332.849258,735.3505665,18878.91353,296.7382721,1389.698534,3679.190061,1331.862422,6404.681693,1295.260143,594.2590182,873.7472018,1414.0838,2816.597557,3746.680193,51425.23033,38909.18344,54636.7054,69002.48397,70426.57805,39989.25586,14507.97548,32914.9236,53082.557,5231.799544,7877.03028,6340.066135,10168.5422,12013.71672,6359.426707,10249.36558,22002.76519,21146.96147,3648.723373
260.9/1007,9559.072966,9063.438559,10363.0877,1431.71092,3442.213465,8732.421503,15801.30661,15712.87974,5667.641305,3466.832269,9329.058272,7789.227003,10970.75135,5171.512782,445.3657878,1000.073718,2265.278141,2385.865019,8122.932294,21283.37652,18377.21022,11306.83972,12872.44712,19650.38567,10822.89214,6685.693361,9399.641512,12189.409,7760.859595,376.6817773,1246.9079,744.6677695,1063.152642,474.4941809,346.4263526,559.7130301,413.8105304,0
271.1/2121,49.80862731,245.4862037,0,0,0,301.0893359,151.3397505,255.8377843,1815.43906,1805.434302,8828.419522,1049.069818,22044.23913,12580.49029,1261.991026,2278.915753,1289.157267,7633.776721,0,0,0,0,86.3077331,2256061.368,0,0,0,0,815450.1597,725152.5985,1220774.011,595093.9054,1270632.168,966148.716,138083.728,7080.011798,6189.4236,175143.0294
271.4/2119,408.4356286,1041.688353,8689.394065,8140.728386,4110.82453,1659.147762,139.0081787,537.7584739,0,52.11651067,49.66229751,0,0,0,0,127.1087495,54.56240434,73.31068218,1272.585194,5223451.166,4179695.048,2530.02362,1688.751682,6475998.289,681693.4933,2020031.82,3963487.948,2779835.995,2945401.483,215435.9392,1664.926713,2854448.51,3302.868607,5316.892329,7944.32408,0,317.7093276,0
